moy,dom,hod,Toutdoor,Qheat_profile,Q_dhw_profile,Q_house_profile
1.0,10.0,17.0,3.0,1.8799206652840144,0.105,1.9849206652840143
1.0,10.0,18.0,3.1,1.8628304774177962,0.0,1.8628304774177962
1.0,10.0,19.0,3.2,1.8457402895515778,0.315,2.160740289551578
1.0,10.0,20.0,3.1,1.8628304774177962,0.105,1.9678304774177962
1.0,10.0,21.0,3.0,1.8799206652840144,0.735,2.6149206652840142
1.0,10.0,22.0,3.1,1.8628304774177962,1.505,3.367830477417796
1.0,10.0,23.0,2.9,1.8970108531502325,0.0,1.8970108531502325
1.0,10.0,24.0,2.7,1.9311912288826694,0.0,1.9311912288826694
1.0,11.0,1.0,2.9,1.8970108531502325,0.0,1.8970108531502325
1.0,11.0,2.0,3.2,1.8457402895515778,0.0,1.8457402895515778
1.0,11.0,3.0,3.1,1.8628304774177962,0.0,1.8628304774177962
1.0,11.0,4.0,2.5,1.965371604615106,0.0,1.965371604615106
1.0,11.0,5.0,1.8,2.085002919678634,0.0,2.085002919678634
1.0,11.0,6.0,1.4,2.153363671143507,0.0,2.153363671143507
1.0,11.0,7.0,0.6,2.290085174073254,0.0,2.290085174073254
1.0,11.0,8.0,0.7,2.2729949862070358,1.6099999999999999,3.8829949862070356
1.0,11.0,9.0,0.3,2.3413557376719085,0.42,2.7613557376719085
1.0,11.0,10.0,1.7,2.1020931075448526,0.21,2.3120931075448525
1.0,11.0,11.0,2.7,1.9311912288826694,0.105,2.0361912288826693
1.0,11.0,12.0,3.6,1.7773795380867046,0.21,1.9873795380867045
1.0,11.0,13.0,4.0,1.7090187866218312,0.315,2.024018786621831
1.0,11.0,14.0,3.7,1.7602893502204862,0.0,1.7602893502204862
1.0,11.0,15.0,2.9,1.8970108531502325,0.105,2.0020108531502325
1.0,11.0,16.0,1.4,2.153363671143507,0.105,2.258363671143507
1.0,11.0,17.0,0.3,2.3413557376719085,0.105,2.4463557376719085
1.0,11.0,18.0,-0.7,2.5122576163340917,0.0,2.5122576163340917
1.0,11.0,19.0,-0.6,2.4951674284678735,0.315,2.8101674284678735
1.0,11.0,20.0,-1.0,2.5635281799327467,0.105,2.6685281799327467
1.0,11.0,21.0,-1.0,2.5635281799327467,0.735,3.2985281799327466
1.0,11.0,22.0,-1.2,2.597708555665183,1.505,4.102708555665183
1.0,11.0,23.0,-1.5,2.6489791192638386,0.0,2.6489791192638386
1.0,11.0,24.0,-1.5,2.6489791192638386,0.0,2.6489791192638386
1.0,12.0,1.0,-1.6,2.6660693071300567,0.0,2.6660693071300567
1.0,12.0,2.0,-2.7,2.854061373658458,0.0,2.854061373658458
1.0,12.0,3.0,-3.6,3.007873064454423,0.0,3.007873064454423
1.0,12.0,4.0,-2.1,2.7515202464611486,0.0,2.7515202464611486
1.0,12.0,5.0,-1.1,2.580618367798965,0.0,2.580618367798965
1.0,12.0,6.0,-1.3,2.6147987435314017,0.0,2.6147987435314017
1.0,12.0,7.0,-1.1,2.580618367798965,0.0,2.580618367798965
1.0,12.0,8.0,0.0,2.3926263012705635,1.6099999999999999,4.002626301270563
1.0,12.0,9.0,0.4,2.3242655498056903,0.42,2.7442655498056903
1.0,12.0,10.0,1.7,2.1020931075448526,0.21,2.3120931075448525
1.0,12.0,11.0,2.7,1.9311912288826694,0.105,2.0361912288826693
1.0,12.0,12.0,3.3,1.8286501016853594,0.21,2.0386501016853593
1.0,12.0,13.0,3.5,1.7944697259529228,0.315,2.109469725952923
1.0,12.0,14.0,4.1,1.691928598755613,0.0,1.691928598755613
1.0,12.0,15.0,4.9,1.5552070958258664,0.105,1.6602070958258663
1.0,12.0,16.0,3.9,1.7261089744880496,0.105,1.8311089744880495
1.0,12.0,17.0,2.6,1.9482814167488876,0.105,2.0532814167488875
1.0,12.0,18.0,1.9,2.0679127318124157,0.0,2.0679127318124157
1.0,12.0,19.0,1.3,2.1704538590097253,0.315,2.4854538590097253
1.0,12.0,20.0,0.4,2.3242655498056903,0.105,2.4292655498056903
1.0,12.0,21.0,0.2,2.358445925538127,0.735,3.093445925538127
1.0,12.0,22.0,0.0,2.3926263012705635,1.505,3.8976263012705634
1.0,12.0,23.0,0.2,2.358445925538127,0.0,2.358445925538127
1.0,12.0,24.0,0.0,2.3926263012705635,0.0,2.3926263012705635
1.0,13.0,1.0,-1.2,2.597708555665183,0.0,2.597708555665183
1.0,13.0,2.0,-1.8,2.7002496828624936,0.0,2.7002496828624936
1.0,13.0,3.0,-2.2,2.7686104343273663,0.0,2.7686104343273663
1.0,13.0,4.0,-2.4,2.802790810059803,0.0,2.802790810059803
1.0,13.0,5.0,-2.5,2.8198809979260213,0.0,2.8198809979260213
1.0,13.0,6.0,-3.0,2.905331937257113,0.0,2.905331937257113
1.0,13.0,7.0,-3.2,2.9395123129895495,0.0,2.9395123129895495
1.0,13.0,8.0,-2.8,2.8711515615246768,1.6099999999999999,4.481151561524676
1.0,13.0,9.0,-1.8,2.7002496828624936,0.42,3.1202496828624935
1.0,13.0,10.0,-0.3,2.4438968648692185,0.21,2.6538968648692185
1.0,13.0,11.0,0.2,2.358445925538127,0.105,2.463445925538127
1.0,13.0,12.0,1.6,2.1191832954110708,0.21,2.3291832954110707
1.0,13.0,13.0,2.2,2.0166421682137607,0.315,2.3316421682137607
1.0,13.0,14.0,2.8,1.9141010410164507,0.0,1.9141010410164507
1.0,13.0,15.0,1.7,2.1020931075448526,0.105,2.2070931075448526
1.0,13.0,16.0,1.0,2.2217244226083808,0.105,2.3267244226083807
1.0,13.0,17.0,-0.1,2.409716489136782,0.105,2.514716489136782
1.0,13.0,18.0,-0.7,2.5122576163340917,0.0,2.5122576163340917
1.0,13.0,19.0,-1.3,2.6147987435314017,0.315,2.9297987435314017
1.0,13.0,20.0,-1.7,2.683159494996275,0.105,2.788159494996275
1.0,13.0,21.0,-2.2,2.7686104343273663,0.735,3.503610434327366
1.0,13.0,22.0,-2.6,2.83697118579224,1.505,4.341971185792239
1.0,13.0,23.0,-2.6,2.83697118579224,0.0,2.83697118579224
1.0,13.0,24.0,-3.2,2.9395123129895495,0.0,2.9395123129895495
1.0,14.0,1.0,-3.5,2.9907828765882045,0.0,2.9907828765882045
1.0,14.0,2.0,-3.6,3.007873064454423,0.0,3.007873064454423
1.0,14.0,3.0,-3.8,3.0420534401868595,0.0,3.0420534401868595
1.0,14.0,4.0,-4.7,3.195865130982824,0.0,3.195865130982824
1.0,14.0,5.0,-4.7,3.195865130982824,0.0,3.195865130982824
1.0,14.0,6.0,-4.7,3.195865130982824,0.0,3.195865130982824
1.0,14.0,7.0,-5.0,3.247135694581479,0.0,3.247135694581479
1.0,14.0,8.0,-4.2,3.1104141916517327,1.6099999999999999,4.720414191651733
1.0,14.0,9.0,-2.7,2.854061373658458,0.42,3.274061373658458
1.0,14.0,10.0,-1.1,2.580618367798965,0.21,2.790618367798965
1.0,14.0,11.0,-0.2,2.4268066770030003,0.105,2.5318066770030003
1.0,14.0,12.0,0.5,2.307175361939472,0.21,2.517175361939472
1.0,14.0,13.0,0.6,2.290085174073254,0.315,2.605085174073254
1.0,14.0,14.0,0.3,2.3413557376719085,0.0,2.3413557376719085
1.0,14.0,15.0,0.3,2.3413557376719085,0.105,2.4463557376719085
1.0,14.0,16.0,0.2,2.358445925538127,0.105,2.463445925538127
1.0,14.0,17.0,0.1,2.3755361134043453,0.105,2.4805361134043453
1.0,14.0,18.0,-0.1,2.409716489136782,0.0,2.409716489136782
1.0,14.0,19.0,-0.4,2.460987052735437,0.315,2.775987052735437
1.0,14.0,20.0,-0.9,2.5464379920665285,0.105,2.6514379920665285
1.0,14.0,21.0,-1.5,2.6489791192638386,0.735,3.3839791192638384
1.0,14.0,22.0,-1.8,2.7002496828624936,1.505,4.205249682862494
1.0,14.0,23.0,-2.4,2.802790810059803,0.0,2.802790810059803
1.0,14.0,24.0,-2.7,2.854061373658458,0.0,2.854061373658458
1.0,15.0,1.0,-2.7,2.854061373658458,0.0,2.854061373658458
1.0,15.0,2.0,-2.8,2.8711515615246768,0.0,2.8711515615246768
1.0,15.0,3.0,-2.8,2.8711515615246768,0.0,2.8711515615246768
1.0,15.0,4.0,-3.4,2.973692688721986,0.0,2.973692688721986
1.0,15.0,5.0,-3.5,2.9907828765882045,0.0,2.9907828765882045
1.0,15.0,6.0,-3.9,3.0591436280530777,0.0,3.0591436280530777
1.0,15.0,7.0,-4.0,3.0762338159192963,0.0,3.0762338159192963
1.0,15.0,8.0,-4.0,3.0762338159192963,1.6099999999999999,4.686233815919296
1.0,15.0,9.0,-3.3,2.956602500855768,0.42,3.376602500855768
1.0,15.0,10.0,-2.2,2.7686104343273663,0.21,2.9786104343273663
1.0,15.0,11.0,-1.0,2.5635281799327467,0.105,2.6685281799327467
1.0,15.0,12.0,0.2,2.358445925538127,0.21,2.568445925538127
1.0,15.0,13.0,0.8,2.255904798340817,0.315,2.570904798340817
1.0,15.0,14.0,1.3,2.1704538590097253,0.0,2.1704538590097253
1.0,15.0,15.0,0.8,2.255904798340817,0.105,2.360904798340817
1.0,15.0,16.0,-0.1,2.409716489136782,0.105,2.514716489136782
1.0,15.0,17.0,-0.8,2.5293478042003104,0.105,2.6343478042003103
1.0,15.0,18.0,-1.4,2.63188893139762,0.0,2.63188893139762
1.0,15.0,19.0,-1.9,2.7173398707287117,0.315,3.0323398707287117
1.0,15.0,20.0,-2.1,2.7515202464611486,0.105,2.8565202464611485
1.0,15.0,21.0,-2.6,2.83697118579224,0.735,3.57197118579224
1.0,15.0,22.0,-3.0,2.905331937257113,1.505,4.410331937257113
1.0,15.0,23.0,-4.2,3.1104141916517327,0.0,3.1104141916517327
1.0,15.0,24.0,-4.1,3.0933240037855145,0.0,3.0933240037855145
1.0,16.0,1.0,-4.3,3.1275043795179513,0.0,3.1275043795179513
1.0,16.0,2.0,-4.3,3.1275043795179513,0.0,3.1275043795179513
1.0,16.0,3.0,-4.7,3.195865130982824,0.0,3.195865130982824
1.0,16.0,4.0,-4.9,3.230045506715261,0.0,3.230045506715261
